[2018-08-18T09:11:30.470] [ERROR] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":"ReferenceError: key is not defined\n    at activityCount (/Users/wangbo/Desktop/study/koaStudy/controller/statistic.js:68:35)\n    at dispatch (/Users/wangbo/Desktop/study/koaStudy/node_modules/koa-router/node_modules/koa-compose/index.js:44:32)\n    at next (/Users/wangbo/Desktop/study/koaStudy/node_modules/koa-router/node_modules/koa-compose/index.js:45:18)\n    at /Users/wangbo/Desktop/study/koaStudy/node_modules/koa-router/lib/router.js:346:16\n    at dispatch (/Users/wangbo/Desktop/study/koaStudy/node_modules/koa-router/node_modules/koa-compose/index.js:44:32)\n    at /Users/wangbo/Desktop/study/koaStudy/node_modules/koa-router/node_modules/koa-compose/index.js:36:12\n    at dispatch (/Users/wangbo/Desktop/study/koaStudy/node_modules/koa-router/lib/router.js:351:31)\n    at dispatch (/Users/wangbo/Desktop/study/koaStudy/node_modules/koa-compose/index.js:42:32)\n    at /Users/wangbo/Desktop/study/koaStudy/middleware/mi-send/index.js:9:15\n    at dispatch (/Users/wangbo/Desktop/study/koaStudy/node_modules/koa-compose/index.js:42:32)\n    at bodyParser (/Users/wangbo/Desktop/study/koaStudy/node_modules/koa-bodyparser/index.js:86:11)\n    at process._tickCallback (internal/process/next_tick.js:68:7)","userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-18T09:11:30.478] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.038s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-18T09:12:06.745] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.001s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-18T09:12:06.752] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.031s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-18T09:19:12.986] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.023s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-18T09:19:12.992] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.009s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-18T09:19:34.504] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:19:34.508] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:20:15.555] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.022s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:20:15.565] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.013s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:09.444] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.023s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:09.455] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.014s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:37.392] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:37.400] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.009s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:43.322] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/share","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:44.307] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.002s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:44.319] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.011s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:52.061] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:52.066] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.006s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:52.745] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.004s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:52.749] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:53.107] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/join","host":"localhost:3000","message":{"responseTime":"响应时间为0.003s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
[2018-08-18T09:21:53.111] [INFO] cheese - {"projectName":"koa2-study","serverIp":"192.168.1.176","method":"POST","url":"/statistic/activityCount","host":"localhost:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1"}
